COMBUSTÍVEL,ANO,REGIÃO,ESTADO,UNIDADE,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,CEARÁ,m3,16531.03,12602.096,8355.021,1054.411,1329.404,2324.941,3798.079,5292.977,4158.473,9312.181,9048.664,12505.695,86312.972
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,PIAUÍ,m3,2485.274,1854.074,1600.209,292.172,473.736,549.477,551.798,667.064,861.439,1286.683,1631.508,2192.96,14446.394
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORDESTE,MARANHÃO,m3,3566.466,2842.337,2145.242,715.657,617.928,654.973,1123.771,1255.117,1616.079,2190.65,2243.899,2948.193,21920.312
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORTE,TOCANTINS,m3,753.543,561.883,476.191,181.555,252.723,248.084,287.529,366.311,362.382,690.122,547.453,802.997,5530.773
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORTE,AMAPÁ,m3,332.628,245.806,297.263,132.578,110.536,182.896,205.446,263.916,362.624,567.492,639.005,541.617,3881.807
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORTE,PARÁ,m3,8012.257,6608.943,5045.462,1640.522,2011.252,2682.626,3114.501,4792.221,5890.933,7221.314,7609.209,8792.26,63421.5
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORTE,RORAIMA,m3,378.333,312.455,283.165,133.859,77.019,170.755,183.483,298.969,520.12,654.408,567.839,766.606,4347.011
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORTE,AMAZONAS,m3,9362.916,7883.119,7123.005,2832.473,3443.351,4057.851,5134.698,6841.838,8549.316,10723.964,10305.319,11522.13,87779.98
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORTE,ACRE,m3,749.214,773.001,524.462,78.302,92.686,109.872,309.932,429.367,561.203,716.172,1002.075,1118.513,6464.799
QUEROSENE DE AVIAÇÃO (m3),2020,REGIÃO NORTE,RONDÔNIA,m3,1947.696,1672.842,1365.769,424.675,419.693,547.037,785.946,684.682,974.881,1084.94,1187.25,1461.131,12556.542
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,m3,21870.264,16151.305,15189.106,11043.435,16111.841,18139.394,23423.755,24748.549,26490.259,26371.123,25544.753,29133.273,254217.057
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO CENTRO-OESTE,GOIÁS,m3,4833.931,3758.46,3629.767,2955.478,4177.035,4339.872,5058.74,5557.128,3960.529,7395.57,5348.11,5844.372,56858.992
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO CENTRO-OESTE,MATO GROSSO,m3,6225.031,4566.328,5742.113,3682.971,3201.398,2330.948,1817.008,1768.094,2775.543,4001.842,5523.736,5963.578,47598.59
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,m3,1489.584,1225.057,1402.022,809.152,976.769,913.09,1026.195,1960.216,978.14,1567.407,1395.396,2205.51,15948.538
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO SUL,RIO GRANDE DO SUL,m3,6006.489,5322.95,4208.496,3070.147,4176.316,5165.939,6971.116,7994.832,8153.844,10070.114,12019.753,11457.342,84617.338
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO SUL,SANTA CATARINA,m3,3489.407,2646.005,1713.112,1042.178,1718.739,1594.264,2037.819,2210.595,2475.496,3583.245,4241.09,6411.124,33163.074
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO SUL,PARANÁ,m3,6740.207,5921.415,4812.351,3436.783,4913.197,4517.131,5556.273,5973.774,6417.148,7222.081,8526.209,9760.942,73797.511
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO SUDESTE,SÃO PAULO,m3,204895.245,146115.972,160799.393,139947.85,164156.033,173681.37,207083.81,201847.504,206469.234,217041.236,234596.556,258069.708,2314703.911
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO SUDESTE,RIO DE JANEIRO,m3,36195.366,43597.928,25931.568,22013.127,25800.12,25875.493,32580.232,31987.971,33486.801,34063.663,38065.787,45643.067,395241.123
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO SUDESTE,ESPÍRITO SANTO,m3,2085.472,1496.972,1297.405,929.146,1337.546,1678.838,1989.009,1913.502,2093.418,2458.106,2368.587,2745.352,22393.353
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO SUDESTE,MINAS GERAIS,m3,14266.23,9499.784,11341.067,8665.184,10395.49,11457.984,14143.063,14826.79,15866.709,16058.993,16025.299,18254.895,160801.488
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,BAHIA,m3,16967.066,10280.748,8880.756,5623.644,7325.507,8086.185,10748.376,10690.312,12257.806,15472.277,14961.681,20479.284,141773.642
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,SERGIPE,m3,1773.784,1465.196,899.231,456.515,674.706,1047.957,1099.813,1075.304,1122.636,1332.358,1195.384,1766.097,13908.981
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,ALAGOAS,m3,6186.088,3917.147,3613.292,1800.649,2565.047,3162.024,5279.737,4190.106,4607.528,5453.599,5031.267,6379.114,52185.598
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,PERNAMBUCO,m3,20412.157,15740.785,15246.738,11317.869,12933.208,15076.921,18601.766,17161.62,17232.137,18827.684,19572.205,23168.593,205291.683
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,PARAÍBA,m3,4138.163,2737.038,1913.039,1014.709,1205.325,2160.559,3059.609,2297.28,2263.183,2754.999,2867.45,3761.631,30172.985
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,RIO GRANDE DO NORTE,m3,6810.981,3992.108,3564.079,2008.602,3018.694,3866.392,6506.134,5221.131,5332.032,6213.16,5773.711,7237.613,59544.637
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,CEARÁ,m3,12721.124,8702.57,5941.305,3748.669,6134.169,7471.76,11904.883,12183.913,11285.981,12639.013,16152.305,17195.481,126081.173
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,PIAUÍ,m3,1763.333,1202.268,846.039,572.454,940.572,1190.661,1354.053,1274.977,1320.596,1637.737,1656.797,2172.539,15932.026
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORDESTE,MARANHÃO,m3,2633.898,1900.626,1540.278,1015.064,1277.678,1405.359,1938.111,1881.134,1863.849,2133.191,1904.967,2857.903,22352.058
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORTE,TOCANTINS,m3,791.308,718.516,708.704,364.648,511.152,531.252,644.426,709.833,657.91,774.235,789.153,824.29,8025.427
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORTE,AMAPÁ,m3,478.367,379.762,360.992,167.565,239.096,280.353,301.261,302.457,343.627,397.5,344.731,461.497,4057.208
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORTE,PARÁ,m3,8050.267,6300.004,5795.727,5132.719,5524.785,6762.792,8392.133,8219.953,7957.115,8580.424,10595.013,11618.37,92929.302
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORTE,RORAIMA,m3,777.762,716.478,554.093,432.012,676.769,919.505,955.404,695.715,649.759,780.588,839.983,779.457,8777.525
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORTE,AMAZONAS,m3,11076.291,9047.631,8278.191,6776.357,8474.508,8117.543,10156.013,10071.621,10961.959,12027.24,11900.763,13157.967,120046.084
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORTE,ACRE,m3,1055.563,917.779,729.973,492.838,623.116,646.162,649.961,783.766,718.894,919.126,978.435,1145.375,9660.988
QUEROSENE DE AVIAÇÃO (m3),2021,REGIÃO NORTE,RONDÔNIA,m3,1531.668,1178.407,1102.482,1257.648,1119.563,1017.762,1064.737,996.707,1153.245,1433.055,1329.386,1748.556,14933.216
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,m3,29125.579,20946.181,27822.744,23190.018,25804.735,25598.831,32521.454,30262.797,29380.516,28874.787,27029.429,28645.483,329202.554
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO CENTRO-OESTE,GOIÁS,m3,6046.689,4439.799,5384.862,6207.871,7095.072,6972.174,7546.722,7559.945,7318.603,7869.171,6493.554,6676.215,79610.677
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO CENTRO-OESTE,MATO GROSSO,m3,6454.302,4973.384,6815.494,4523.289,3520.902,2337.229,2351.573,2405.258,2974.723,5508.383,5872.087,6893.321,54629.945
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,m3,2228.301,1679.937,2485.296,1605.961,1253.612,1015.695,1306.949,2059.089,1328.679,1780.815,1572.425,2161.382,20478.141
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO SUL,RIO GRANDE DO SUL,m3,12506.709,9825.401,11890.122,11325.707,11856.048,10574.021,10664.44,13281.508,13393.235,13127.722,15684.692,14689.721,148819.326
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO SUL,SANTA CATARINA,m3,8069.393,4543.476,4749.201,4745.89,4421.121,4430.968,4248.062,3489.559,4445.837,5688.851,5576.338,6956.112,61364.808
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO SUL,PARANÁ,m3,9686.301,7390.319,10175.243,10507.753,11393.738,11069.472,12255.629,11555.863,11696.583,11828.979,11970.109,11293.73,130823.719
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO SUDESTE,SÃO PAULO,m3,250616.391,224220.691,252288.979,246415.693,263028.243,249709.236,278003.411,263192.412,254203.561,254389.137,273148.86,290021.643,3099238.257
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO SUDESTE,RIO DE JANEIRO,m3,47189.016,42126.411,48116.349,47318.521,48619.828,46534.205,49869.904,47576.205,49902.605,50900.506,54361.664,59565.829,592081.043
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO SUDESTE,ESPÍRITO SANTO,m3,2325.949,1830.89,2030.792,1987.343,2152.102,2058.288,2458.871,2509.382,2562.016,2662.339,2569.176,2464.756,27611.904
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO SUDESTE,MINAS GERAIS,m3,18348.976,14143.177,17301.466,18657.727,20086.37,19134.1,21714.21,22629.269,21436.895,22491.941,19806.254,20667.942,236418.327
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,BAHIA,m3,20697.242,12054.31,14965.393,12294.272,12951.07,13252.589,17581.307,16337.001,16418.611,18755.313,18008.976,22643.803,195959.887
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,SERGIPE,m3,1744.099,1366.205,1697.254,1542.206,1455.257,1350.989,1866.26,1771.563,1759.186,2046.254,2270.925,1947.904,20818.102
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,ALAGOAS,m3,7751.067,5069.001,5088.458,4412.044,3993.888,3848.834,5078.475,4665.623,4921.78,5467.722,4793.055,6301.167,61391.114
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,PERNAMBUCO,m3,22833.835,17003.737,20108.568,19950.123,20564.013,18465.968,22062.317,19431.964,18139.408,18737.304,17094.568,20754.039,235145.844
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,PARAÍBA,m3,3634.966,2764.37,3066.995,2641.986,2724.212,2831.001,3255.384,3033.69,2950.639,3240.108,3214.706,3958.257,37316.314
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,RIO GRANDE DO NORTE,m3,8699.226,5915.384,6146.49,5313.438,5764.005,5321.273,7329.6,6363.811,6278.027,6842.051,5848.501,7440.442,77262.248
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,CEARÁ,m3,20469.128,16387.227,16755.397,13655.389,14491.729,14348.301,17419.827,17480.715,17031.6,17635.304,16713.425,20031.203,202419.245
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,PIAUÍ,m3,2450.993,1487.678,1494.295,1302.214,1319.707,1253.397,1181.129,1502.145,1681.269,1858.151,1690.091,2158.106,19379.175
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORDESTE,MARANHÃO,m3,2677.101,2094.946,2239.522,1919.161,1965.617,1926.968,2763.775,2729.054,2602.434,2864.025,2713.53,3536.364,30032.497
QUEROSENE DE AVIAÇÃO (m3),2022,REGIÃO NORTE,TOCANTINS,m3,942.548,681.798,920.918,905.937,847.611,689.587,856.586,828.834,869.317,885.567,886.316,933.855,10248.874
